                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7332,                 5.2319,                  1.299,                0.00528,                0.51351,                0.00545,                0.00187,                 1.8913,                 4.7514,                 1.0427,                0.00016,                0.00016,                0.00016
                      2,                 2.3099,                 3.4721,                 1.1553,                0.00722,                 0.7027,                0.01115,                0.00328,                 1.8599,                 4.2808,                0.97886,             0.00033663,             0.00033663,             0.00033663
                      3,                 2.1457,                 2.7102,                 1.1004,                0.00722,                 0.7027,                0.01057,                0.00404,                 1.7732,                 4.1109,                0.98551,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.9544,                 2.4031,                 1.0606,                0.00667,                0.64865,                0.00723,                0.00271,                 1.9062,                 4.1232,                 1.0793,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.9607,                  2.157,                 1.0776,                0.00528,                0.51351,                0.00496,                 0.0021,                 1.9407,                 7.8808,                 1.1031,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.8759,                 2.1042,                 1.0243,                0.00444,                0.43243,                0.00374,                0.00173,                 1.7542,                 4.4622,                0.99888,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.7246,                 1.8871,                0.99512,                0.00778,                0.75676,                0.11323,                0.07217,                 1.7835,                 3.5036,                 1.0007,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.8386,                 1.9475,                 0.9996,                0.74782,                0.32078,                0.32659,                 0.1737,                 1.9363,                 3.3779,                 1.1073,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.8385,                 1.8012,                  1.049,                0.00722,                 0.7027,                 0.0911,                0.03945,                 1.8293,                 3.4427,                 1.0427,              0.0014733,              0.0014733,              0.0014733
                     10,                  1.717,                 1.6962,                 1.0012,                0.78483,                0.43243,                0.48729,                0.21713,                 1.7473,                 2.9827,                 1.0255,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.7871,                 1.6418,                 1.0195,                      1,                0.21367,                0.74434,                0.29381,                 1.8952,                 2.5715,                 1.0493,               0.001766,               0.001766,               0.001766
                     12,                 1.7636,                 1.7729,                 1.0227,                0.83338,                0.40555,                0.72823,                0.33305,                 1.6783,                 2.3917,                 1.0707,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6825,                 1.6181,                 1.0153,                0.71602,                0.67568,                 0.7988,                0.36239,                 1.8184,                  1.983,                 1.0736,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6554,                 1.5307,                 1.0117,                0.73833,                0.68654,                0.74088,                0.31245,                 1.7608,                 1.9922,                 1.0317,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5497,                 1.3806,                0.95499,                0.91726,                0.59943,                 0.7859,                0.36872,                 1.7459,                 1.7917,                 1.0428,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5967,                 1.3385,                0.98977,                0.72382,                0.77927,                0.80429,                 0.3684,                 1.6867,                 1.6403,                 1.0111,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.567,                 1.3573,                0.97807,                0.73789,                0.81081,                0.78351,                0.43001,                 1.4759,                 1.5171,                0.96468,               0.001703,               0.001703,               0.001703
                     18,                 1.5393,                 1.2407,                0.98107,                0.83591,                0.82628,                0.85075,                0.42655,                 1.5727,                 1.3729,                0.98257,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5998,                   1.28,                0.97289,                0.93841,                0.83784,                0.92272,                0.44261,                 1.5401,                 1.3389,                 0.9407,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4587,                 1.1521,                0.94391,                 0.9326,                0.74816,                0.86151,                0.46839,                 1.4423,                 1.3379,                 0.9493,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.5352,                 1.2081,                0.95545,                0.93563,                0.83784,                 0.8751,                0.39756,                 1.6033,                 1.2441,                0.95458,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.518,                 1.1817,                0.96929,                0.91125,                0.89189,                0.93037,                0.47404,                 1.3931,                 1.1102,                 0.9215,               0.001604,               0.001604,               0.001604
                     23,                 1.5646,                 1.1381,                 0.9629,                0.85001,                0.94595,                0.92395,                0.47741,                 1.5285,                 1.1385,                 0.9562,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5218,                 1.1195,                0.94139,                0.84299,                0.83784,                0.88781,                0.44264,                  1.543,                 1.2311,                0.95113,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4927,                 1.0896,                0.95209,                0.89405,                0.86486,                0.91068,                0.46675,                 1.5744,                 1.0893,                 0.9625,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4917,                   1.13,                0.94484,                0.89719,                0.86486,                0.89599,                0.47187,                 1.6362,                 1.0794,                 1.0124,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5131,                 1.1258,                0.98852,                0.95857,                0.83784,                0.91397,                0.45083,                 1.6495,                 1.1722,                 1.0049,               0.001505,               0.001505,               0.001505
                     28,                 1.4006,                 1.0302,                0.94791,                0.89073,                0.83784,                0.90956,                0.48272,                 1.4965,                 1.0238,                0.91709,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3984,                0.97673,                0.94727,                0.85373,                0.89189,                0.90713,                0.45125,                 1.5266,                 1.0356,                0.93813,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4354,                0.98364,                 0.9559,                0.84015,                0.83784,                0.88351,                0.45631,                 1.4179,                 1.0889,                0.93148,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4224,                0.98629,                0.94558,                0.90275,                0.75276,                 0.8655,                0.46508,                 1.4185,                 1.1691,                0.94398,              0.0014258,              0.0014258,              0.0014258
